n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,L M F,FML,high_load,Four,green,purple,1,5,3,4,green,purple,purple,purple,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,F R H,HRF,high_load,Four,green,red,1,1,6,6,green,green,red,red,inferior,n-2,300,50,300,250,400,150,200,150
4,number,0,R Q B,BQR,high_load,Four,blue,yellow,2,1,4,6,blue,blue,yellow,yellow,inferior,n-1,400,150,200,150,300,250,300,50
4,number,0,X F M,MFX,high_load,Four,blue,red,1,3,4,5,blue,blue,red,red,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,R B Q,QBR,high_load,Four,red,black,3,2,1,6,red,red,black,black,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,B J Q,QJB,high_load,Four,green,blue,5,1,4,6,green,green,blue,blue,superior,n+2,300,50,300,250,400,150,200,150
4,number,0,J R F,FRJ,high_load,Four,green,red,6,1,3,2,green,green,red,red,superior,n+3,400,150,200,150,300,250,300,50
5,number,0,M H B,BHM,high_load,Five,red,gray,1,1,6,4,red,red,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,J M R,RMJ,high_load,Five,red,blue,1,2,6,3,red,red,blue,blue,inferior,n-2,400,150,200,150,300,250,300,50
5,number,0,M Q F,FQM,high_load,Five,green,blue,1,3,5,4,green,green,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
5,number,0,J R M,MRJ,high_load,Five,red,yellow,4,1,5,4,red,red,yellow,yellow,intermediate,n,400,150,200,150,300,250,300,50
5,number,0,R J B,BJR,high_load,Five,blue,green,2,4,6,1,blue,blue,green,green,superior,n+1,400,150,200,150,300,250,300,50
5,number,0,J F R,RFJ,high_load,Five,blue,red,6,1,5,2,blue,blue,red,red,superior,n+2,400,150,200,150,300,250,300,50
5,number,0,F B L,LBF,high_load,Five,green,blue,2,6,3,4,green,green,blue,blue,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,0,R M X,XMR,high_load,Some,red,yellow,5,5,1,4,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
