n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,J Q F,FQJ,high_load,4,green,purple,1,6,4,5,green,purple,purple,purple,inferior,n-3,400,150,200,150,300,250,300,50
4,number,0,L M X,XML,high_load,4,red,yellow,1,1,5,6,red,red,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
4,number,0,X Q H,HQX,high_load,4,red,black,2,1,6,3,red,red,black,black,inferior,n-1,300,50,300,250,400,150,200,150
4,number,0,Q F L,LFQ,high_load,4,green,black,1,3,4,5,green,green,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,X L Q,QLX,high_load,4,red,green,2,3,2,5,red,red,green,green,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,X L Q,QLX,high_load,4,red,black,1,5,4,6,red,red,black,black,superior,n+2,300,50,300,250,400,150,200,150
4,number,0,L B X,XBL,high_load,4,blue,green,1,6,2,6,blue,blue,green,green,superior,n+3,300,50,300,250,400,150,200,150
5,number,0,L M F,FML,high_load,5,green,blue,1,1,4,6,green,green,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,F J M,MJF,high_load,5,green,blue,2,1,6,6,green,green,blue,blue,inferior,n-2,400,150,200,150,300,250,300,50
5,number,0,R Q J,JQR,high_load,5,blue,green,3,1,4,4,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
5,number,0,B M F,FMB,high_load,5,red,green,3,2,6,2,red,red,green,green,intermediate,n,400,150,200,150,300,250,300,50
5,number,0,F L Q,QLF,high_load,5,red,blue,2,4,6,2,red,red,blue,blue,superior,n+1,300,50,300,250,400,150,200,150
5,number,0,M X J,JXM,high_load,5,blue,green,6,1,3,6,blue,blue,green,green,superior,n+2,400,150,200,150,300,250,300,50
5,number,0,L X R,RXL,high_load,5,green,purple,2,6,4,1,green,green,purple,purple,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,0,L X M,MXL,high_load,Some,green,black,1,5,3,6,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,0,R F X,XFR,high_load,Some,green,black,6,1,2,3,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,0,B L M,MLB,high_load,Some,green,yellow,5,5,3,1,green,green,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,Q J L,LJQ,high_load,Some,red,purple,4,3,3,5,red,red,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,J X F,FXJ,high_load,Some,blue,black,5,1,5,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,0,J M Q,QMJ,high_load,Some,red,black,1,5,5,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,M F Q,QFM,high_load,All,red,blue,2,5,5,3,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
All,All,0,R J F,FJR,high_load,All,red,black,3,6,4,1,black,black,black,black,null,null,400,150,200,150,300,250,300,50
All,All,0,Q H F,FHQ,high_load,All,green,red,3,4,6,3,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
All,All,0,F H L,LHF,high_load,All,blue,green,1,2,6,3,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
All,All,0,J L F,FLJ,high_load,All,green,yellow,2,4,4,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,X R J,JRX,high_load,All,green,purple,3,5,4,1,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,0,H Q F,FQH,high_load,2,red,blue,1,6,4,2,red,blue,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,0,Q F L,LFQ,high_load,8,red,green,2,6,1,5,red,red,green,green,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,0,M J Q,QJM,high_load,10,blue,yellow,1,5,3,4,blue,blue,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,0,B J X,XJB,high_load,12,red,blue,6,6,1,3,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,1,R F J,JFR,high_load,4,green,blue,1,6,1,4,green,blue,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
4,number,1,R B L,LBR,high_load,4,blue,yellow,1,1,5,6,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
4,number,1,H J B,BJH,high_load,4,red,yellow,1,2,6,4,red,red,yellow,yellow,inferior,n-1,400,150,200,150,300,250,300,50
4,number,1,F X H,HXF,high_load,4,green,blue,3,1,3,5,green,green,blue,blue,intermediate,n,300,50,300,250,400,150,200,150
4,number,1,F M R,RMF,high_load,4,blue,red,3,2,5,3,blue,blue,red,red,superior,n+1,400,150,200,150,300,250,300,50
4,number,1,L J F,FJL,high_load,4,blue,gray,1,5,2,5,blue,blue,gray,gray,superior,n+2,400,150,200,150,300,250,300,50
4,number,1,B X L,LXB,high_load,4,red,yellow,6,1,2,6,red,red,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,1,X M F,FMX,high_load,5,green,yellow,1,1,6,6,green,green,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
5,number,1,J X R,RXJ,high_load,5,blue,gray,1,2,6,5,blue,blue,gray,gray,inferior,n-2,300,50,300,250,400,150,200,150
5,number,1,J R L,LRJ,high_load,5,green,blue,1,3,6,2,green,green,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
5,number,1,Q R F,FRQ,high_load,5,blue,yellow,1,4,3,5,blue,blue,yellow,yellow,intermediate,n,400,150,200,150,300,250,300,50
5,number,1,X Q J,JQX,high_load,5,green,blue,4,2,2,5,green,green,blue,blue,superior,n+1,300,50,300,250,400,150,200,150
5,number,1,L Q R,RQL,high_load,5,red,gray,6,1,3,6,red,red,gray,gray,superior,n+2,400,150,200,150,300,250,300,50
5,number,1,M J X,XJM,high_load,5,blue,yellow,2,6,1,4,blue,blue,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
