n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,L H,HL,low_load,4,blue,black,1,3,5,5,blue,black,black,black,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,J R,RJ,low_load,4,red,green,1,1,5,5,red,red,green,green,inferior,n-2,400,150,200,150,300,250,300,50
4,number,0,R X,XR,low_load,4,blue,black,2,1,4,6,blue,blue,black,black,inferior,n-1,300,50,300,250,400,150,200,150
4,number,0,R F,FR,low_load,4,green,blue,1,3,4,4,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,0,Q H,HQ,low_load,4,green,black,2,3,4,4,green,green,black,black,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,R X,XR,low_load,4,green,black,1,5,6,2,green,green,black,black,superior,n+2,400,150,200,150,300,250,300,50
4,number,0,B X,XB,low_load,4,red,purple,2,5,1,6,red,red,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,0,L X,XL,low_load,5,red,gray,1,1,5,5,red,red,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,M X,XM,low_load,5,green,red,2,1,5,6,green,green,red,red,inferior,n-2,400,150,200,150,300,250,300,50
5,number,0,H R,RH,low_load,5,green,black,1,3,5,3,green,green,black,black,inferior,n-1,400,150,200,150,300,250,300,50
5,number,0,F X,XF,low_load,5,blue,black,3,2,5,6,blue,blue,black,black,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,Q H,HQ,low_load,5,red,purple,2,4,5,5,red,red,purple,purple,superior,n+1,400,150,200,150,300,250,300,50
5,number,0,M F,FM,low_load,5,green,black,3,4,5,3,green,green,black,black,superior,n+2,400,150,200,150,300,250,300,50
5,number,0,M H,HM,low_load,5,red,green,6,2,2,5,red,red,green,green,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,0,R L,LR,low_load,Some,green,blue,5,2,3,4,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
Some,Some,0,H Q,QH,low_load,Some,green,purple,3,1,5,3,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
Some,Some,0,B X,XB,low_load,Some,green,blue,1,1,5,6,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,H Q,QH,low_load,Some,green,red,3,5,4,2,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,L J,JL,low_load,Some,green,blue,4,4,2,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,0,Q H,HQ,low_load,Some,blue,black,5,4,4,1,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,B L,LB,low_load,All,red,black,3,1,6,3,black,black,black,black,null,null,400,150,200,150,300,250,300,50
All,All,0,L M,ML,low_load,All,green,blue,6,1,4,5,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
All,All,0,J M,MJ,low_load,All,blue,yellow,6,2,6,1,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,0,F X,XF,low_load,All,green,purple,2,2,5,6,green,green,purple,purple,partial,partial,400,150,200,150,300,250,300,50
All,All,0,B M,MB,low_load,All,green,purple,2,5,1,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,R M,MR,low_load,All,green,yellow,5,1,4,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,0,M Q,QM,low_load,2,blue,green,1,1,5,6,blue,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,0,J X,XJ,low_load,8,green,black,3,5,3,2,green,green,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,0,Q H,HQ,low_load,10,red,yellow,4,2,5,5,red,red,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,0,R Q,QR,low_load,12,blue,yellow,6,6,1,3,blue,blue,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,1,H Q,QH,low_load,4,green,blue,1,2,4,6,green,blue,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
4,number,1,R M,MR,low_load,4,red,yellow,1,1,6,4,red,red,yellow,yellow,inferior,n-2,400,150,200,150,300,250,300,50
4,number,1,H Q,QH,low_load,4,green,red,1,2,5,6,green,green,red,red,inferior,n-1,300,50,300,250,400,150,200,150
4,number,1,L J,JL,low_load,4,red,gray,1,3,6,4,red,red,gray,gray,intermediate,n,400,150,200,150,300,250,300,50
4,number,1,H Q,QH,low_load,4,blue,gray,2,3,1,6,blue,blue,gray,gray,superior,n+1,300,50,300,250,400,150,200,150
4,number,1,B F,FB,low_load,4,blue,black,5,1,3,6,blue,blue,black,black,superior,n+2,400,150,200,150,300,250,300,50
4,number,1,H J,JH,low_load,4,blue,black,5,2,6,2,blue,blue,black,black,superior,n+3,400,150,200,150,300,250,300,50
5,number,1,F J,JF,low_load,5,green,yellow,1,1,6,5,green,green,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
5,number,1,F Q,QF,low_load,5,red,purple,1,2,4,6,red,red,purple,purple,inferior,n-2,400,150,200,150,300,250,300,50
5,number,1,J B,BJ,low_load,5,blue,yellow,1,3,4,5,blue,blue,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
5,number,1,R M,MR,low_load,5,green,yellow,1,4,2,6,green,green,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
5,number,1,L J,JL,low_load,5,green,red,4,2,4,3,green,green,red,red,superior,n+1,300,50,300,250,400,150,200,150
5,number,1,B R,RB,low_load,5,blue,gray,4,3,1,5,blue,blue,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
5,number,1,M B,BM,low_load,5,green,purple,2,6,2,5,green,green,purple,purple,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,1,F J,JF,low_load,Some,blue,gray,4,4,1,5,gray,gray,gray,gray,null,null,400,150,200,150,300,250,300,50
Some,Some,1,J H,HJ,low_load,Some,red,purple,6,1,6,2,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
Some,Some,1,Q L,LQ,low_load,Some,red,gray,1,5,6,1,red,red,gray,gray,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,M B,BM,low_load,Some,green,red,1,3,4,6,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,X Q,QX,low_load,Some,red,green,4,6,1,3,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,R B,BR,low_load,Some,green,yellow,1,5,6,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,B J,JB,low_load,All,red,purple,5,4,2,5,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,1,J B,BJ,low_load,All,blue,yellow,4,3,4,2,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
All,All,1,F B,BF,low_load,All,blue,black,2,1,6,5,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
All,All,1,R J,JR,low_load,All,blue,black,4,3,3,4,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,1,M B,BM,low_load,All,blue,gray,2,4,4,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,M J,JM,low_load,All,blue,yellow,3,6,3,2,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,1,J L,LJ,low_load,2,green,purple,1,5,5,3,green,purple,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,1,M H,HM,low_load,8,blue,black,6,2,4,2,blue,blue,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,1,M X,XM,low_load,10,blue,gray,1,5,3,5,blue,blue,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,1,H R,RH,low_load,12,green,purple,6,6,1,3,green,green,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,2,L J,JL,low_load,4,blue,green,1,5,2,6,blue,green,green,green,inferior,n-3,300,50,300,250,400,150,200,150
4,number,2,R Q,QR,low_load,4,green,blue,1,1,6,5,green,green,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
4,number,2,R X,XR,low_load,4,red,black,2,1,6,4,red,red,black,black,inferior,n-1,400,150,200,150,300,250,300,50
4,number,2,H Q,QH,low_load,4,green,blue,3,1,6,5,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,2,M L,LM,low_load,4,blue,yellow,2,3,5,5,blue,blue,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
4,number,2,L X,XL,low_load,4,green,red,5,1,4,4,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,B M,MB,low_load,4,green,purple,2,5,1,5,green,green,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,2,H B,BH,low_load,5,blue,red,1,1,6,6,blue,blue,red,red,inferior,n-3,400,150,200,150,300,250,300,50
5,number,2,M Q,QM,low_load,5,green,blue,1,2,4,5,green,green,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
5,number,2,X J,JX,low_load,5,blue,green,3,1,4,6,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
5,number,2,L R,RL,low_load,5,red,purple,1,4,2,5,red,red,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
5,number,2,H J,JH,low_load,5,green,red,4,2,2,6,green,green,red,red,superior,n+1,300,50,300,250,400,150,200,150
5,number,2,B F,FB,low_load,5,green,yellow,4,3,2,5,green,green,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
5,number,2,B Q,QB,low_load,5,green,yellow,6,2,3,2,green,green,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,2,L F,FL,low_load,Some,red,purple,6,3,1,6,purple,purple,purple,purple,null,null,400,150,200,150,300,250,300,50
