n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,J F,FJ,low_load,Four,red,yellow,1,3,4,4,red,yellow,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,L F,FL,low_load,Four,blue,yellow,1,1,6,6,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
4,number,0,X J,JX,low_load,Four,red,yellow,1,2,3,6,red,red,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
4,number,0,Q F,FQ,low_load,Four,blue,black,1,3,5,5,blue,blue,black,black,intermediate,n,400,150,200,150,300,250,300,50
4,number,0,M Q,QM,low_load,Four,green,yellow,2,3,6,2,green,green,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,R H,HR,low_load,Four,red,yellow,5,1,3,3,red,red,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
4,number,0,J L,LJ,low_load,Four,red,purple,6,1,2,4,red,red,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,0,J L,LJ,low_load,Five,red,yellow,1,1,6,4,red,red,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,B M,MB,low_load,Five,red,yellow,2,1,5,5,red,red,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
5,number,0,Q J,JQ,low_load,Five,blue,yellow,1,3,4,5,blue,blue,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
5,number,0,L Q,QL,low_load,Five,green,black,3,2,6,5,green,green,black,black,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,L Q,QL,low_load,Five,red,blue,4,2,1,6,red,red,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
5,number,0,L X,XL,low_load,Five,blue,red,3,4,4,5,blue,blue,red,red,superior,n+2,300,50,300,250,400,150,200,150
5,number,0,X M,MX,low_load,Five,green,purple,6,2,1,5,green,green,purple,purple,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,0,R F,FR,low_load,Some,blue,green,1,4,6,1,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,0,M B,BM,low_load,Some,red,blue,3,4,3,2,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,0,J Q,QJ,low_load,Some,red,purple,5,2,3,6,red,red,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,M Q,QM,low_load,Some,blue,yellow,6,1,2,6,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,0,J X,XJ,low_load,Some,green,yellow,3,5,3,5,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,0,L F,FL,low_load,Some,blue,black,5,4,6,1,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
