n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,Q J B L,BJQL,high_load,4,red,yellow,1,6,6,2,red,yellow,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,R J B F,BJRF,high_load,4,red,yellow,1,5,2,4,red,yellow,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
4,number,0,L F H R,HFLR,high_load,4,blue,black,1,3,5,3,blue,blue,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,M F B H,BFMH,high_load,4,blue,black,3,1,6,4,blue,blue,black,black,intermediate,n,400,150,200,150,300,250,300,50
4,number,0,B F X H,XFBH,high_load,4,red,gray,4,3,4,5,red,red,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
4,number,0,B J Q M,QJBM,high_load,4,red,black,1,6,4,3,red,red,black,black,superior,n+3,400,150,200,150,300,250,300,50
5,number,0,H R Q L,QRHL,high_load,5,red,yellow,1,1,6,5,red,red,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,F L M H,MLFH,high_load,5,blue,gray,1,1,6,6,blue,blue,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
5,number,0,Q H R F,RHQF,high_load,5,red,green,4,1,5,2,red,red,green,green,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,B X H M,HXBM,high_load,5,green,purple,2,3,3,6,green,green,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,M Q X B,XQMB,high_load,5,green,yellow,5,3,4,3,green,green,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,0,L J R M,RJLM,high_load,5,blue,yellow,2,6,1,4,blue,blue,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,0,Q M F X,FMQX,high_load,Some,green,blue,6,4,1,1,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,0,B R X J,XRBJ,high_load,Some,blue,gray,1,6,5,2,gray,gray,gray,gray,null,null,300,50,300,250,400,150,200,150
