n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,R H,HR,low_load,4,red,black,1,3,5,4,red,black,black,black,inferior,n-3,400,150,200,150,300,250,300,50
4,number,0,X L,LX,low_load,4,blue,red,1,6,5,2,blue,red,red,red,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,X Q,QX,low_load,4,green,black,1,3,2,6,green,green,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,J F,FJ,low_load,4,green,yellow,1,3,6,3,green,green,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,M J,JM,low_load,4,green,red,4,3,6,3,green,green,red,red,superior,n+3,300,50,300,250,400,150,200,150
4,number,0,J L,LJ,low_load,4,red,purple,2,5,1,5,red,red,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,0,H B,BH,low_load,5,blue,gray,1,1,6,5,blue,blue,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
5,number,0,M X,XM,low_load,5,green,red,1,1,4,6,green,green,red,red,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,L J,JL,low_load,5,blue,gray,3,2,3,6,blue,blue,gray,gray,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,Q J,JQ,low_load,5,red,gray,1,4,6,2,red,red,gray,gray,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,B X,XB,low_load,5,green,black,5,3,5,3,green,green,black,black,superior,n+3,400,150,200,150,300,250,300,50
5,number,0,B J,JB,low_load,5,green,blue,2,6,4,4,green,green,blue,blue,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,0,L J,JL,low_load,Some,green,black,6,3,3,4,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,0,J Q,QJ,low_load,Some,green,red,5,4,2,2,red,red,red,red,null,null,300,50,300,250,400,150,200,150
Some,Some,0,B F,FB,low_load,Some,red,green,3,4,2,4,red,red,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,Q B,BQ,low_load,Some,blue,red,2,6,6,1,blue,blue,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,0,H B,BH,low_load,Some,red,green,5,4,1,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,0,X F,FX,low_load,Some,blue,red,4,6,4,1,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,0,Q B,BQ,low_load,Some,red,black,1,2,5,5,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,0,H F,FH,low_load,Some,blue,red,6,4,2,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,Q H,HQ,low_load,All,blue,yellow,1,4,4,3,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
